dataset_name,algorithm,use_asymmetric_transformation,efSearch,recall,queries_per_sec
llama-128-ip,nsg-faiss,FALSE,150,12.00%,3898.1
llama-128-ip,nsg-faiss,FALSE,200,14.30%,3218.9
llama-128-ip,nsg-faiss,FALSE,300,16.70%,2170.9
llama-128-ip,nsg-faiss,FALSE,400,19.00%,1597.5
llama-128-ip,nsg-faiss,FALSE,500,20.90%,1264.7
llama-128-ip,nsg-faiss,FALSE,600,22.60%,1023.7
llama-128-ip,nsg-faiss,FALSE,800,25.90%,717.1
llama-128-ip,nsg-faiss,FALSE,1000,28.70%,543.9
yi-128-ip,nsg-faiss,TRUE,10,11.2%,15568.4
yi-128-ip,nsg-faiss,TRUE,20,21.0%,10135.7
yi-128-ip,nsg-faiss,TRUE,30,27.3%,7731.7
yi-128-ip,nsg-faiss,TRUE,40,35.1%,6717.5
yi-128-ip,nsg-faiss,TRUE,50,39.7%,6053.8
yi-128-ip,nsg-faiss,TRUE,60,44.1%,5363.8
yi-128-ip,nsg-faiss,TRUE,80,46.8%,4491.3
yi-128-ip,nsg-faiss,TRUE,100,49.5%,3702.4
yi-128-ip,nsg-faiss,TRUE,150,65.4%,2975.7
yi-128-ip,nsg-faiss,TRUE,200,69.5%,2308.0
yi-128-ip,nsg-faiss,TRUE,300,76.8%,1524.4
yi-128-ip,nsg-faiss,TRUE,400,80.3%,1144.4
yi-128-ip,nsg-faiss,TRUE,500,84.4%,894.3
yi-128-ip,nsg-faiss,TRUE,600,87.9%,733.4
yi-128-ip,nsg-faiss,TRUE,800,91.3%,532.9
yi-128-ip,nsg-faiss,TRUE,1000,93.1%,399.7
llama-128-ip,nsg-faiss,TRUE,10,25.0%,14281.9
llama-128-ip,nsg-faiss,TRUE,20,38.2%,8625.3
llama-128-ip,nsg-faiss,TRUE,30,45.8%,6431.0
llama-128-ip,nsg-faiss,TRUE,40,51.1%,5252.0
llama-128-ip,nsg-faiss,TRUE,50,55.5%,4282.1
llama-128-ip,nsg-faiss,TRUE,60,59.5%,3685.6
llama-128-ip,nsg-faiss,TRUE,80,65.5%,3010.9
llama-128-ip,nsg-faiss,TRUE,100,70.3%,2469.9
llama-128-ip,nsg-faiss,TRUE,150,76.8%,1679.2
llama-128-ip,nsg-faiss,TRUE,200,79.3%,1466.7
llama-128-ip,nsg-faiss,TRUE,300,86.5%,948.0
llama-128-ip,nsg-faiss,TRUE,400,90.6%,687.0
llama-128-ip,nsg-faiss,TRUE,500,92.8%,543.6
llama-128-ip,nsg-faiss,TRUE,600,94.5%,444.2
llama-128-ip,nsg-faiss,TRUE,800,96.2%,322.3
llama-128-ip,nsg-faiss,TRUE,1000,97.2%,250.9
yi-128-ip,roargraph,FALSE,10,6.4%,37168.7
yi-128-ip,roargraph,FALSE,20,9.0%,20200.3
yi-128-ip,roargraph,FALSE,30,11.2%,14922.4
yi-128-ip,roargraph,FALSE,40,12.9%,12763.1
yi-128-ip,roargraph,FALSE,50,14.4%,10741.5
yi-128-ip,roargraph,FALSE,60,15.6%,9346.2
yi-128-ip,roargraph,FALSE,80,17.5%,7525.7
yi-128-ip,roargraph,FALSE,100,19.1%,6465.4
yi-128-ip,roargraph,FALSE,150,22.2%,4560.3
yi-128-ip,roargraph,FALSE,200,24.3%,3436.6
yi-128-ip,roargraph,FALSE,300,27.5%,2452.8
yi-128-ip,roargraph,FALSE,400,30.0%,1877.9
yi-128-ip,roargraph,FALSE,500,31.7%,1428.1
yi-128-ip,roargraph,FALSE,600,32.9%,1211.2
yi-128-ip,roargraph,FALSE,800,35.1%,874.8
yi-128-ip,roargraph,FALSE,1000,36.8%,696.8
llama-128-ip,roargraph,FALSE,10,8.4%,26710.5
llama-128-ip,roargraph,FALSE,20,11.1%,17442.7
llama-128-ip,roargraph,FALSE,30,13.5%,13699.2
llama-128-ip,roargraph,FALSE,40,15.1%,11111.0
llama-128-ip,roargraph,FALSE,50,16.2%,9604.8
llama-128-ip,roargraph,FALSE,60,17.1%,8616.0
llama-128-ip,roargraph,FALSE,80,18.7%,6983.8
llama-128-ip,roargraph,FALSE,100,19.8%,5978.1
llama-128-ip,roargraph,FALSE,150,21.9%,4291.3
llama-128-ip,roargraph,FALSE,200,23.6%,3450.3
llama-128-ip,roargraph,FALSE,300,25.7%,2440.0
llama-128-ip,roargraph,FALSE,400,27.2%,1892.2
llama-128-ip,roargraph,FALSE,500,28.3%,1469.9
llama-128-ip,roargraph,FALSE,600,29.4%,1252.7
llama-128-ip,roargraph,FALSE,800,30.7%,920.7
llama-128-ip,roargraph,FALSE,1000,31.7%,727.0
yi-128-ip,roargraph,TRUE,10,6.8%,13618.1
